OS_Cluster_No,Categories,Count,Percentage
16,Bus Stops,18912,72.97
16,Parking,1532,5.91
16,Vehicle Hire & Rental,1214,4.68
16,Driving & Motorcycle Schools,797,3.07
16,Subways,613,2.37
16,London Underground Entrances,583,2.25
16,New Vehicles,465,1.79
16,"Railway Stations, Junctions & Halts",329,1.27
16,Underground Network Stations,259,1
16,Bridges,241,0.93
16,Tunnels,214,0.83
16,Road Construction Services,156,0.6
16,Ferries & Ferry Terminals,120,0.46
16,"Bus Coach Stations, Depots & Companies",109,0.42
16,Fire Brigade Station,103,0.394122599
16,"Tram, Metro & Light Railway Stations Stops",89,0.34
16,Police Stations,75,0.286982475
16,Shooting Facilities,28,0.107140124
16,Aircraft Charters,24,0.09
16,Vehicles,20,0.08
16,Ferry Cruise Companies,19,0.07
16,Others,17,0.06
