OSM_Cluster_No,Categories,Count,Percentage
16,Bus Stop,19900,29.36099267
16,Crossing,16941,24.99520486
16,Parking,8233,12.14718857
16,Traffic Signals,7079,10.44454608
16,Bicycle Parking,7052,10.40470956
16,Platform,1111,1.639199138
16,Bicycle Rental,807,1.190669401
16,Motorcycle Parking,795,1.17296428
16,Station,661,0.975257093
16,Car Sharing,626,0.923617156
16,Subway Entrance,471,0.694926007
16,Train Station,438,0.646236924
16,Bridge,418,0.616728389
16,Car Repair,348,0.513448515
16,Parking Space,298,0.439677177
16,Taxi,267,0.393938947
16,Bicycle,235,0.34672529
16,Car,205,0.302462487
16,Charging Station,171,0.252297977
16,Parking Entrance,156,0.230166576
16,Fitness Station,143,0.210986028
16,Motorway Junction,124,0.182952919
16,Sub Station,124,0.182952919
16,Car Wash,122,0.180002066
16,Fire Station,110,0.162296944
16,Car Rental,94,0.138690116
16,Car Parts,86,0.126886702
16,Air Shaft,77,0.113607861
16,Bus Garage,67,0.098853593
16,Motorcycle,66,0.097378167
16,Post Depot,60,0.088525606
16,Ambulance Station,57,0.084099326
16,Dock,44,0.064918778
16,Depot,43,0.063443351
16,Bicycle Repair Station,41,0.060492497
16,Junction,39,0.057541644
16,Bus Station,37,0.05459079
16,Railway Crossing,35,0.051639937
16,Monitoring Station,16,0.023606828
16,Checkpoint,15,0.022131402
16,Others,165,0.243445427
